Site,Trt Unit,Treatment,Scarified,Species,Plant #,Leaves,Grazed,Notes,Leaves_2011,Grazed_2011,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,48,4,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,49,2,n,,7,n,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,50,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,51,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,52,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,53,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,54,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,55,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,56,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,57,2,n,,4,n,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,58,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,59,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,60,2,y,,3,n,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,61,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,62,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,63,3,y,,1,n,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,64,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,65,1,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,1,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,2,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,3,2,n,,3,n,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,4,1,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,5,1,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,6,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,7,2,y,,3,n,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,8,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,9,2,n,,3,n,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,10,1,n,,3,n,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,11,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,12,1,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,13,1,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,14,1,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,15,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,16,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,17,1,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,18,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,19,1,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,20,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,21,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,22,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,23,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,24,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,25,1,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,26,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,27,4,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,28,1,n,,3,n,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,29,4,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,30,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,31,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,32,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,33,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,34,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,35,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,36,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,37,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,38,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,39,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,40,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,41,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,42,3,y,,5,n,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,43,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,44,1,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,n,LUSUKI,45,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,46,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,47,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,48,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,49,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,50,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,51,2,n,,8,n,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,52,3,n,,5,n,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,53,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,54,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,55,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,56,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,57,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,58,3,n,,6,n,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,59,3,y,,10,n,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,60,1,y,,6,n,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,61,1,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,62,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,63,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,64,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,65,4,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,66,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,67,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,8,MBG,y,LUSUKI,68,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,1,3,n,,4,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,2,2,n,,5,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,3,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,4,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,5,5,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,6,3,n,,4,n,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,7,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,10,MBG,n,LUSUKI,8,3,n,,,,,,,,,,,,,,,,,,
