Site,trt unit,Side,Scarified,treatment,G2010,F2010,Veg2010,M2010,B2010,D2010,LD2010,G2011,F2011,Veg2011,M2011,L2011,B2011,D2011,Vole,LD2011,LUOR2010,avleaves2010,LUOR2011,avleaves2011,MaxRecruit,New2011,Observed survival,Max survival,Obs.max diff
Pigeon Butte,26,L,No,Control,62.5,27.5,90,0,2,0,3.9,14,71.5,85.5,4.5,36.5,1.5,8.5,4.5,2.2,21,2.8,2,0,0.21,0,0.1,0.1,0
Pigeon Butte,27,L,No,SBG,5,55,60,0,0,42.5,1.1,3.5,76.5,80,2.5,6,4,15,6,1.1,17,3.24,1,6,0.17,0,0.06,0.06,0
Pigeon Butte,28,L,No,SM,7,72.5,79.5,1.5,6,11.5,0.6,3,84,87,2,9,11,6.5,2.5,1,24,3.43,1,6.5,0.25,1,0,0.04,0.04
Pigeon Butte,32,R,No,MM,10.5,61,71.5,3,0,22.5,2,19,75,94,16.5,16.5,1,0,0,2.5,39,3.13,22,5.5,0.42,3,0.49,0.52,0.04
Pigeon Butte,35,R,No,MBG,8,74,82,7,13,0,0.9,4.5,56,60.5,0,10,1.5,42.5,4.5,0.5,20,2.33,4,0,0.21,1,0.15,0.19,0.04
Pigeon Butte,39,L,No,SBG,2,73.5,75.5,2,3.5,13.5,1.9,38.5,82.5,121,6,16,5.5,0,4.5,1.3,49,2.2,32,3,0.52,3,0.59,0.62,0.02
Pigeon Butte,42,L,No,MM,43.5,46.5,90,0,2,7.5,3.2,7.5,77.5,85,6,6.5,5,5.5,14.5,2,26,2.94,14,0,0.29,3,0.42,0.48,0.06
Pigeon Butte,43,R,No,SBG,2.5,77.5,80,0,0,17.5,0.7,2.5,79,81.5,2,3.5,6,12.5,2.5,0.5,48,2.66,23,3.3,0.49,1,0.46,0.47,0.01
Pigeon Butte,44,R,No,Control,45.5,41,86.5,1.5,2.5,4,1.7,52.5,23.5,76,6,52.5,0,0,4.5,1.9,49,2.81,22,0,0.51,2,0.41,0.43,0.02
Pigeon Butte,45,R,No,MBG,24.5,63.5,88,0,11.5,2.5,1.6,5.5,42.5,48,0,47.5,1,50,0,0.7,11,3.42,5,4.3,0.15,4,0.09,0.33,0.24
Pigeon Butte,46,R,No,SM,28.5,57,85.5,7,7,5,1.3,21.5,62.5,84,2.5,47.5,3.5,17.5,5,1.9,24,4.38,1,3,0.25,1,0,0.04,0.04
Pigeon Butte,2,L,Yes,SBG,2.5,78.5,81,0,19,0,0.5,1.5,87.5,89,3,2.5,7.5,7.5,0,0.3,3,3,0,0,0.03,0,0,0,0
Pigeon Butte,3,R,Yes,SM,9.5,71,80.5,1,7,12.5,1.8,9.5,81,90.5,3.5,2.5,3,7.5,3.5,1.7,9,3.22,5,4,0.09,0,0.56,0.56,0
Pigeon Butte,5,L,Yes,Control,12,82.5,94.5,0,1.5,0,3.8,5.5,95,100.5,2,5.5,0,0,0,1.2,34,3.91,25,9.6,0.4,6,0.56,0.63,0.07
Pigeon Butte,6,L,Yes,MBG,3.5,80.5,84,0,2,13.5,0.5,3.5,75.5,79,1.5,0.5,1,23,4.5,0.4,8,3.38,5,5,0.08,0,0.63,0.63,0
Pigeon Butte,9,L,Yes,MM,42,53,95,0,0.5,0,4.3,30,28.5,58.5,12,50,4,14,0,2.9,9,3.22,5,2.6,0.09,0,0.56,0.56,0
Pigeon Butte,12,R,Yes,Control,,,0,,,,,7,81,88,72.5,11.5,2.5,0.5,0,1.5,7,3.29,2,2,0.08,1,0.14,0.25,0.11
Pigeon Butte,17,L,Yes,MBG,38,40,78,0,0,20.5,1.6,1,79,80,1.5,6,6.5,13,2,0.7,15,2.93,1,3,0.15,0,0.07,0.07,0
Pigeon Butte,18,L,Yes,SM,11,69.5,80.5,0,2,20,1.1,5,92,97,4,12,4,5.5,1.5,1.7,5,4,1,6,0.05,0,0.2,0.2,0
Pigeon Butte,24,R,Yes,MM,14,70,84,0,8.5,0,1,8.5,86,94.5,0,11.5,3,0.5,2,1.8,14,3.29,7,6.9,0.15,1,0.43,0.47,0.04
Pigeon Butte,26,R,Yes,Control,42.5,36.5,79,0,0,11.5,2.1,31,65,96,0,57.5,1,0,,4.166666667,18,3.17,3,3,0.18,0,0.17,0.17,0
Pigeon Butte,27,R,Yes,SBG,6.5,52.5,59,0,1,39,0,5,68,73,0,9,5.5,22,5,1,1,2,1,2,0.01,0,1,1,0
Pigeon Butte,28,R,Yes,SM,7,79.5,86.5,6,1.5,10,1.1,3,82,85,10,10,4,10,8,1.3,10,2.5,2,2.5,0.12,2,0,0.17,0.17
Pigeon Butte,32,L,Yes,MM,10,67.5,77.5,0,3.5,6,2.6,20,66,86,13,35,1,11.5,7,1.8,28,3.68,11,4.6,0.29,1,0.36,0.38,0.02
Pigeon Butte,35,L,Yes,MBG,10,64.5,74.5,6,15.5,0,0.5,8.5,65,73.5,1.5,37.5,5,18,3.5,0.8,5,3.8,3,13.7,0.05,0,0.6,0.6,0
Pigeon Butte,39,R,Yes,SBG,11,75,86,1.5,2,3.5,1.6,14.5,87.5,102,5.5,14.5,3.5,0,3,1.6,30,3.33,22,3.3,0.33,3,0.63,0.67,0.03
Pigeon Butte,42,R,Yes,MM,22,62.5,84.5,0,0,15.5,1.4,11.5,74,85.5,6.5,9.5,6,0,14,1.3,4,3,3,4,0.05,1,0.5,0.6,0.1
Pigeon Butte,43,L,Yes,SBG,3,70.5,73.5,0,11,14,1.3,4.5,76.5,81,0,3,7.5,15,8,1.1,30,3.9,13,5,0.3,0,0.43,0.43,0
Pigeon Butte,44,L,Yes,Control,34,50,84,6,4.5,10,2.2,19,66,85,8,27.5,3.5,0,9.5,1.7,18,2.83,7,3.9,0.18,0,0.39,0.39,0
Pigeon Butte,45,L,Yes,MBG,22.5,44.5,67,0,17.5,12.5,0.6,1.5,69,70.5,1,1,9.5,22.5,6.5,0.4,4,2.75,3,3.3,0.05,1,0.5,0.6,0.1
Pigeon Butte,46,L,Yes,SM,27,47.5,74.5,0,24,0,1.2,35.5,31,66.5,0,70,2.5,1,6,3.6,4,2.75,1,3,0.04,0,0.25,0.25,0
