site,trtUnit,side,scarified,grass,forbs,moss,bareGround,disturbance,voleDisturbance,litterCover,litterDepth,year
Pigeon Butte,12,R,y,7,81,72.5,2.5,0.5,0,11.5,1.5,2011
Pigeon Butte,17,R,n,2,61,0,4,30,13.5,1.5,0.4,2011
Pigeon Butte,17,L,y,1,79,1.5,6.5,13,2,6,0.7,2011
Pigeon Butte,18,R,n,3.5,73.5,2,6,16.5,0,2,0.4,2011
Pigeon Butte,18,L,y,5,92,4,4,5.5,1.5,12,1.7,2011
Pigeon Butte,24,L,n,4,95,0,2.5,0,4.5,5,1.2,2011
Pigeon Butte,24,R,y,8.5,86,0,3,0.5,2,11.5,1.8,2011
Pigeon Butte,26,L,n,14,71.5,4.5,1.5,8.5,4.5,36.5,2.2,2011
Pigeon Butte,26,R,y,31,65,0,1,0,,57.5,4.166666667,2011
Pigeon Butte,27,L,n,3.5,76.5,2.5,4,15,6,6,1.1,2011
Pigeon Butte,27,R,y,5,68,0,5.5,22,5,9,1,2011
Pigeon Butte,28,L,n,3,84,2,11,6.5,2.5,9,1,2011
Pigeon Butte,28,R,y,3,82,10,4,10,8,10,1.3,2011
Pigeon Butte,32,R,n,19,75,16.5,1,0,0,16.5,2.5,2011
Pigeon Butte,32,L,y,20,66,13,1,11.5,7,35,1.8,2011
Pigeon Butte,35,R,n,4.5,56,0,1.5,42.5,4.5,10,0.5,2011
Pigeon Butte,35,L,y,8.5,65,1.5,5,18,3.5,37.5,0.8,2011
Pigeon Butte,39,L,n,38.5,82.5,6,5.5,0,4.5,16,1.3,2011
Pigeon Butte,39,R,y,14.5,87.5,5.5,3.5,0,3,14.5,1.6,2011
Pigeon Butte,42,L,n,7.5,77.5,6,5,5.5,14.5,6.5,2,2011
Pigeon Butte,42,R,y,11.5,74,6.5,6,0,14,9.5,1.3,2011
Pigeon Butte,43,R,n,2.5,79,2,6,12.5,2.5,3.5,0.5,2011
Pigeon Butte,43,L,y,4.5,76.5,0,7.5,15,8,3,1.1,2011
Pigeon Butte,44,R,n,52.5,23.5,6,0,0,4.5,52.5,1.9,2011
Pigeon Butte,44,L,y,19,66,8,3.5,0,9.5,27.5,1.7,2011
Pigeon Butte,45,R,n,5.5,42.5,0,1,50,0,47.5,0.7,2011
Pigeon Butte,45,L,y,1.5,69,1,9.5,22.5,6.5,1,0.4,2011
Pigeon Butte,46,R,n,21.5,62.5,2.5,3.5,17.5,5,47.5,1.9,2011
Pigeon Butte,46,L,y,35.5,31,0,2.5,1,6,70,3.6,2011
