site,trtUnit,treatment,scarified,speciesID,plantID,leaves_2010,grazed_2010,notes_2010,leaves_2011,grazed_2011,notes_2011
Bellfountain,10,MBG,y,LUOR,39,3,y,,3,n,
Bellfountain,10,MBG,y,LUOR,40,2,y,,,,
Bellfountain,10,MBG,y,LUOR,41,2,y,,,,
Bellfountain,10,MBG,y,LUOR,42,3,y,,,,
Bellfountain,10,MBG,n,LUOR,43,2,n,,,,
Bellfountain,10,MBG,n,LUOR,44,0,n,,,,
Bellfountain,10,MBG,y,LUOR,45,1,n,,7,n,
Bellfountain,10,MBG,y,LUOR,46,1,n,,,,
Bellfountain,10,MBG,y,LUOR,47,2,y,,5,n,
Bellfountain,10,MBG,n,LUOR,48,1,n,,,,
Bellfountain,10,MBG,n,LUOR,49,1,n,,,,
Bellfountain,10,MBG,n,LUOR,50,0,y,,3,n,
Bellfountain,10,MBG,y,LUOR,51,1,n,,,,
Bellfountain,10,MBG,n,LUOR,52,3,n,,,,
Bellfountain,10,MBG,n,LUOR,53,3,n,,5,n,
Bellfountain,10,MBG,n,LUOR,54,3,n,,,,
Bellfountain,10,MBG,n,LUOR,55,2,n,,,,
Bellfountain,10,MBG,n,LUOR,56,2,n,,,,
Bellfountain,10,MBG,n,LUOR,57,2,n,,,,
Bellfountain,10,MBG,n,LUOR,58,2,n,,,,
Bellfountain,10,MBG,y,LUOR,59,2,n,,,,
Bellfountain,10,MBG,n,LUOR,60,,,,3,n,
Bellfountain,10,MBG,y,LUOR,61,,,,7,n,
Bellfountain,10,MBG,n,LUOR,62,,,,2,n,
Bellfountain,12,MM,y,LUOR,1,3,y,,3,n,
Bellfountain,12,MM,y,LUOR,2,1,n,,,,
Bellfountain,12,MM,n,LUOR,3,2,n,,,,
Bellfountain,12,MM,n,LUOR,4,2,n,,,,
Bellfountain,12,MM,n,LUOR,5,3,y,,,,
Bellfountain,12,MM,n,LUOR,6,2,y,,,,
Bellfountain,12,MM,n,LUOR,7,3,y,,,,
Bellfountain,12,MM,n,LUOR,8,2,y,,,,
Bellfountain,12,MM,n,LUOR,9,4,y,,,,
Bellfountain,12,MM,n,LUOR,10,3,y,,,,
Bellfountain,12,MM,n,LUOR,11,3,y,,3,n,
Bellfountain,12,MM,n,LUOR,12,4,y,,3,n,
Bellfountain,12,MM,n,LUOR,13,3,y,,,,
Bellfountain,12,MM,n,LUOR,14,3,n,,,,
Bellfountain,12,MM,n,LUOR,15,2,y,,3,n,
Bellfountain,12,MM,n,LUOR,16,2,y,,2,n,
Bellfountain,12,MM,n,LUOR,17,3,y,,3,n,
Bellfountain,12,MM,n,LUOR,18,2,y,,3,n,
Bellfountain,12,MM,n,LUOR,19,2,n,,,,
Bellfountain,12,MM,n,LUOR,20,3,y,,,,
Bellfountain,12,MM,n,LUOR,21,2,y,,,,
Bellfountain,12,MM,n,LUOR,22,2,y,,,,
Bellfountain,12,MM,n,LUOR,23,2,y,,4,n,
Bellfountain,12,MM,n,LUOR,24,3,y,,,,
Bellfountain,12,MM,n,LUOR,25,2,y,,,,
Bellfountain,12,MM,n,LUOR,26,3,y,,,,
Bellfountain,12,MM,n,LUOR,27,2,y,,,,
Bellfountain,12,MM,n,LUOR,28,1,n,,,,
Bellfountain,12,MM,n,LUOR,29,3,n,,2,n,
Bellfountain,12,MM,n,LUOR,30,3,n,,,,
Bellfountain,12,MM,n,LUOR,31,3,n,,2,n,
Bellfountain,12,MM,n,LUOR,32,4,n,,,,
Bellfountain,12,MM,n,LUOR,33,4,n,,,,
Bellfountain,12,MM,n,LUOR,34,,,,2,n,
Bellfountain,12,MM,n,LUOR,35,,,,4,n,
Bellfountain,12,MM,n,LUOR,36,,,,,,
Bellfountain,12,MM,n,LUOR,37,,,,3,n,
Bellfountain,12,MM,n,LUOR,38,,,,11,n,
Bellfountain,13,SM,y,LUOR,1,3,n,,,,
Bellfountain,13,SM,y,LUOR,2,3,y,,,,
Bellfountain,13,SM,y,LUOR,3,2,n,,,,
Bellfountain,13,SM,y,LUOR,4,2,y,,,,
Bellfountain,13,SM,y,LUOR,5,3,n,,3,n,
Bellfountain,13,SM,n,LUOR,6,2,n,,,,
Bellfountain,13,SM,n,LUOR,7,3,n,,5,n,
Bellfountain,13,SM,n,LUOR,8,3,y,,3,n,
Bellfountain,13,SM,n,LUOR,9,2,y,,,,
Bellfountain,13,SM,n,LUOR,10,3,n,,,,
Bellfountain,13,SM,n,LUOR,11,2,n,,3,n,
Bellfountain,13,SM,n,LUOR,12,3,n,,,,
Bellfountain,13,SM,n,LUOR,13,4,y,,,,
Bellfountain,13,SM,n,LUOR,14,3,n,,,,
Bellfountain,13,SM,n,LUOR,15,4,y,,,,
Bellfountain,13,SM,n,LUOR,16,4,y,,,,
Bellfountain,13,SM,n,LUOR,17,2,n,,,,
Bellfountain,13,SM,n,LUOR,18,3,n,,,,
Bellfountain,13,SM,n,LUOR,19,4,n,,,,
Bellfountain,13,SM,n,LUOR,20,4,n,,4,n,
Bellfountain,13,SM,n,LUOR,21,2,n,,4,n,
Bellfountain,13,SM,n,LUOR,22,2,n,,3,n,
Bellfountain,13,SM,y,LUOR,23,3,n,,3,n,
Bellfountain,15,SBG,n,LUOR,1,2,n,,,,
Bellfountain,15,SBG,n,LUOR,2,3,n,,,,
Bellfountain,15,SBG,n,LUOR,3,2,n,,,,
Bellfountain,15,SBG,n,LUOR,4,3,n,,,,
Bellfountain,15,SBG,n,LUOR,5,4,y,,,,
Bellfountain,15,SBG,n,LUOR,6,4,n,,,,
Bellfountain,15,SBG,n,LUOR,7,3,n,,,,
Bellfountain,15,SBG,n,LUOR,8,2,n,,,,
Bellfountain,15,SBG,n,LUOR,9,3,n,,,,
Bellfountain,15,SBG,n,LUOR,10,3,n,,,,
Bellfountain,15,SBG,n,LUOR,11,2,n,,,,
Bellfountain,15,SBG,n,LUOR,12,2,n,,,,
Bellfountain,15,SBG,y,LUOR,13,4,n,,,,
Bellfountain,15,SBG,y,LUOR,14,3,n,,,,
Bellfountain,15,SBG,y,LUOR,15,2,n,,,,
Bellfountain,15,SBG,n,LUOR,16,3,n,,,,
Bellfountain,15,SBG,n,LUOR,17,4,n,,,,
Bellfountain,15,SBG,n,LUOR,18,3,n,,,,
