"ID","Site","Small or Large","PlotID","Date","Year","Collector","PlotNum","QuadNum","RepNum","Litter depth (cm)","Moss depth (cm)"
109,"Hoskins","S","FH-16",6/21/2006 0:00:00,2006,"Joe Buttafuoco",16,0,0,0.20,0.00
110,"Hoskins","S","FH-16",6/21/2006 0:00:00,2006,"Joe Buttafuoco",16,0,0,2.10,0.00
111,"Hoskins","S","FH-37",6/21/2006 0:00:00,2006,"Joe Buttafuoco",37,0,0,1.60,0.00
112,"Hoskins","S","FH-37",6/21/2006 0:00:00,2006,"Joe Buttafuoco",37,0,0,1.70,0.00
113,"Hoskins","S","FH-37",6/21/2006 0:00:00,2006,"Joe Buttafuoco",37,0,0,2.20,0.00
114,"Hoskins","S","FH-37",6/21/2006 0:00:00,2006,"Joe Buttafuoco",37,0,0,2.00,0.00
115,"Hoskins","S","FH-37",6/21/2006 0:00:00,2006,"Joe Buttafuoco",37,0,0,0.90,0.00
116,"Hoskins","S","FH-37",6/21/2006 0:00:00,2006,"Joe Buttafuoco",37,0,0,0.20,0.00
117,"Hoskins","S","FH-37",6/21/2006 0:00:00,2006,"Joe Buttafuoco",37,0,0,0.40,0.00
118,"Hoskins","S","FH-37",6/21/2006 0:00:00,2006,"Joe Buttafuoco",37,0,0,0.20,0.00
119,"Hoskins","S","FH-37",6/21/2006 0:00:00,2006,"Joe Buttafuoco",37,0,0,0.30,0.00
120,"Hoskins","S","FH-37",6/21/2006 0:00:00,2006,"Joe Buttafuoco",37,0,0,0.00,0.00
121,"Hoskins","S","FH-38",6/21/2006 0:00:00,2006,"Joe Buttafuoco",38,0,0,2.10,0.00
122,"Hoskins","S","FH-38",6/21/2006 0:00:00,2006,"Joe Buttafuoco",38,0,0,0.90,0.00
123,"Hoskins","S","FH-38",6/21/2006 0:00:00,2006,"Joe Buttafuoco",38,0,0,2.40,0.00
124,"Hoskins","S","FH-38",6/21/2006 0:00:00,2006,"Joe Buttafuoco",38,0,0,3.10,0.00
125,"Hoskins","S","FH-38",6/21/2006 0:00:00,2006,"Joe Buttafuoco",38,0,0,1.50,0.00
126,"Hoskins","S","FH-38",6/21/2006 0:00:00,2006,"Joe Buttafuoco",38,0,0,1.60,0.00
127,"Hoskins","S","FH-38",6/21/2006 0:00:00,2006,"Joe Buttafuoco",38,0,0,7.70,0.00
128,"Hoskins","S","FH-38",6/21/2006 0:00:00,2006,"Joe Buttafuoco",38,0,0,5.60,0.00
129,"Hoskins","S","FH-38",6/21/2006 0:00:00,2006,"Joe Buttafuoco",38,0,0,1.70,0.00
130,"Hoskins","S","FH-38",6/21/2006 0:00:00,2006,"Joe Buttafuoco",38,0,0,0.40,0.00
131,"Hoskins","S","FH-39",6/21/2006 0:00:00,2006,"Joe Buttafuoco",39,0,0,0.10,0.00
132,"Hoskins","S","FH-39",6/21/2006 0:00:00,2006,"Joe Buttafuoco",39,0,0,3.30,0.00
