ModelNum    warm        cold    
    1425      1.6000      4.8000
    1427      1.8000      4.8000
    1429      2.0000      4.8000
    1431      2.2000      4.8000
    1433      2.4000      4.8000
    1435      2.6000      4.8000
    1437      2.8000      4.8000
    1439      3.0000      4.8000
    1441      3.2000      4.8000
    1443      1.0000      5.4000
    1445      0.2000      5.4000
    1447      0.4000      5.4000
    1449      0.6000      5.4000
    1451      0.8000      5.4000
    1453      1.0000      5.4000
    1455      1.2000      5.4000
    1457      1.4000      5.4000
    1459      1.6000      5.4000
    1461      1.8000      5.4000
    1463      2.0000      5.4000
    1465      2.2000      5.4000
    1467      2.4000      5.4000
    1469      2.6000      5.4000
    1471      2.8000      5.4000
    1473      3.0000      5.4000
    1475      3.2000      5.4000
    1477      1.0000      6.0000
    1479      0.2000      6.0000
    1481      0.4000      6.0000
    1483      0.6000      6.0000
    1485      0.8000      6.0000
    1487      1.0000      6.0000
    1489      1.2000      6.0000
    1491      1.4000      6.0000
    1493      1.6000      6.0000
    1495      1.8000      6.0000
    1497      2.0000      6.0000
    1499      2.2000      6.0000
    1501      2.4000      6.0000
    1503      2.6000      6.0000
    1505      2.8000      6.0000
    1507      3.0000      6.0000
    1509      3.2000      6.0000
    1511      1.0000      6.6000
    1513      0.2000      6.6000
    1515      0.4000      6.6000
    1517      0.6000      6.6000
    1519      0.8000      6.6000
    1521      1.0000      6.6000
    1523      1.2000      6.6000
    1525      1.4000      6.6000
    1527      1.6000      6.6000
    1529      1.8000      6.6000
    1531      2.0000      6.6000
    1533      2.2000      6.6000
    1535      2.4000      6.6000
    1537      2.6000      6.6000
    1539      2.8000      6.6000
    1541      3.0000      6.6000
    1543      3.2000      6.6000
    1545      1.0000      7.2000
    1547      0.2000      7.2000
    1549      0.4000      7.2000
    1551      0.6000      7.2000
    1553      0.8000      7.2000
    1555      1.0000      7.2000
    1557      1.2000      7.2000
    1559      1.4000      7.2000
    1561      1.6000      7.2000
    1563      1.8000      7.2000
    1565      2.0000      7.2000
    1567      2.2000      7.2000
    1569      2.4000      7.2000
    1571      2.6000      7.2000
    1573      2.8000      7.2000
    1575      3.0000      7.2000
    1577      3.2000      7.2000
    1579      1.0000      7.8000
    1581      0.2000      7.8000
    1583      0.4000      7.8000
    1585      0.6000      7.8000
    1587      0.8000      7.8000
    1589      1.0000      7.8000
    1591      1.2000      7.8000
    1593      1.4000      7.8000
    1595      1.6000      7.8000
    1597      1.8000      7.8000
    1599      2.0000      7.8000
    1601      2.2000      7.8000
    1603      2.4000      7.8000
    1605      2.6000      7.8000
    1607      2.8000      7.8000
    1609      3.0000      7.8000
    1611      3.2000      7.8000
    1613      1.0000      8.4000
    1615      0.2000      8.4000
    1617      0.4000      8.4000
    1619      0.6000      8.4000
    1621      0.8000      8.4000
    1623      1.0000      8.4000
    1625      1.2000      8.4000
    1627      1.4000      8.4000
    1629      1.6000      8.4000
    1631      1.8000      8.4000
    1633      2.0000      8.4000
    1635      2.2000      8.4000
    1637      2.4000      8.4000
    1639      2.6000      8.4000
    1641      2.8000      8.4000
    1643      3.0000      8.4000
    1645      3.2000      8.4000
    1647      1.0000      9.0000
    1649      0.2000      9.0000
    1651      0.4000      9.0000
    1653      0.6000      9.0000
    1655      0.8000      9.0000
    1657      1.0000      9.0000
    1659      1.2000      9.0000
    1661      1.4000      9.0000
    1663      1.6000      9.0000
    1665      1.8000      9.0000
    1667      2.0000      9.0000
    1669      2.2000      9.0000
    1671      2.4000      9.0000
    1673      2.6000      9.0000
    1675      2.8000      9.0000
    1677      3.0000      9.0000
    1679      3.2000      9.0000
    1681      1.0000      9.6000
    1683      0.2000      9.6000
    1685      0.4000      9.6000
    1687      0.6000      9.6000
    1689      0.8000      9.6000
    1691      1.0000      9.6000
    1693      1.2000      9.6000
    1695      1.4000      9.6000
    1697      1.6000      9.6000
    1699      1.8000      9.6000
    1701      2.0000      9.6000
    1703      2.2000      9.6000
    1705      2.4000      9.6000
    1707      2.6000      9.6000
    1709      2.8000      9.6000
    1711      3.0000      9.6000
    1713      3.2000      9.6000
